Country or Territory,Population,2016 Peak Pubs.,Ratio 1 Publisher to,2016 Av. Pubs.,% Inc. Over 2015,2015 Av. Pubs.,2016 No. Bptzd.,Av. Aux. Pio. Pubs.,Av. Pio. Pubs.,No. of Congs.,Total Hours,Av. Bible Studies,Memorial Attendance
Albania,3204000,5574,575,5487,2,5381,270,534,1268,89,1923463,5994,11562
American Samoa,54194,210,258,202,-7,218,11,12,34,3,61815,345,708
Andorra,72040,174,414,164,-4,170,6,6,20,3,34558,111,354
Angola,25789024,128057,201,121306,9,111123,9549,7462,15165,1725,35715951,595961,564070
Anguilla,14760,70,211,61,-2,62,1,5,6,2,16125,139,313
Antigua,92740,489,190,463,,462,15,26,48,7,98694,605,1364
Argentina,43416755,150052,289,148062,,147379,4199,9696,20510,2012,35119818,124274,309964
Armenia,2998600,11178,268,10999,,11019,433,949,2176,133,3322154,7296,23512
Aruba,104263,1058,99,1019,7,953,51,54,74,14,185198,1102,2840
Australia,24224401,67418,359,66689,,66753,1235,3297,5667,793,12056551,30230,116596
Austria,8699730,21561,403,21353,1,21216,480,1148,1549,299,3910400,12766,35731
Azerbaijan,9826397,1406,6989,1357,4,1303,69,122,347,13,510770,1798,2911
Azores,245766,742,331,727,,730,15,45,86,15,171210,792,1663
Bahamas,392718,1800,218,1652,1,1630,56,92,216,27,395054,2186,4739
Bangladesh,160995642,282,570907,271,12,243,10,16,120,6,131347,643,969
Barbados,285000,2542,112,2513,,2506,41,141,203,30,458445,2259,6012
Belarus,9496000,5903,1609,5854,,5828,158,496,1239,78,1880259,4859,10231
Belgium,11267910,25437,443,24818,1,24661,485,1331,1679,354,4253779,11715,42991
Belize,367500,2702,136,2555,2,2515,91,141,484,62,731615,4238,8734
Benin,11241706,12759,881,12012,3,11716,456,712,1622,192,3394013,30432,42162
Bermuda,61662,498,124,444,-1,448,12,17,94,5,117948,327,945
Bolivia,10725000,26081,411,25457,3,24836,1140,2287,5093,332,8265115,42568,75027
Bonaire,18000,148,122,135,14,118,9,11,2,26,902,180,358
Bosnia and Herzegovina,3810000,1160,3284,1146,-2,1170,24,89,185,16,325340,517,1883
Botswana,2262000,2181,1037,2109,,2099,102,137,266,44,563924,4460,6438
Brazil,206482887,829743,249,808710,3,787470,32978,47815,91983,11911,182262093,916992,1799512
Britain,65111143,138261,471,134517,,134491,2309,6728,13240,1613,24823570,61280,226750
Bulgaria,7186893,2408,2985,2376,4,2290,60,149,661,55,890343,3182,5454
Burkina Faso,18759039,1776,10563,1653,,1656,45,97,277,44,497699,3356,5349
Burundi,9396000,13595,691,12957,3,12577,864,1075,2016,270,4242272,40291,51587
Cambodia,15577899,1021,15257,986,10,894,26,43,558,14,525885,2524,2790
Cameroon,24071647,41721,577,38373,1,37869,1426,1875,4442,399,9570133,74239,97036
Canada,36401079,115006,317,113954,,114123,1678,6688,12166,1409,23093041,55780,184604
Cape Verde,527877,2206,239,2141,2,2098,92,137,407,33,634389,4729,7647
Cayman Islands,60764,253,240,237,9,217,10,14,23,3,52720,243,645
Central African Republic,4900000,2547,1924,2525,-1,2544,139,132,312,53,682787,8098,17337
Chad,14037000,769,18254,705,3,687,38,32,69,18,174556,1423,4659
Chile,18191884,76915,237,75622,1,75168,2090,5136,11814,979,19944023,62656,174925
Chuuk,48651,82,593,43,16,37,3,5,12,2,19420,162,232
Colombia,49953000,171146,292,167960,2,165089,8168,9001,24233,2572,42596832,219223,500548
"Congo, Dem. Republic of",79722624,215449,370,214736,22,176585,15295,8619,21616,3746,50476012,672726,1199216
"Congo, Republic of",4740992,6576,721,6314,4,6080,400,443,494,78,1651784,23282,22598
Cook Islands,14974,195,77,188,-3,194,2,8,22,3,38064,182,450
Costa Rica,4861300,30593,159,29973,1,29601,754,1381,3405,437,6503760,33556,70324
"Côte d'Ivoire",23842311,11133,2142,10620,3,10302,511,705,1624,317,3222371,28274,76526
Croatia,4240000,5335,795,5264,-2,5372,55,316,473,64,1059476,2123,8434
Cuba,11412918,95843,119,95443,,95825,2948,6246,9675,1555,18470042,162918,223336
Curaçao,158635,2063,77,2025,2,1987,65,113,194,26,399992,2369,5488
Cyprus,885600,2584,343,2563,1,2536,76,168,424,41,651262,1821,4873
Czech Republic,10564866,15594,677,15490,,15471,261,829,1140,222,2702528,7411,26656
Denmark,5669000,14719,385,14622,,14564,226,764,953,179,2480939,6054,21779
Dominica,73000,437,167,421,-4,437,3,16,72,10,112674,716,1646
Dominican Republic,10606865,37704,281,36949,,36946,1397,2193,7239,583,11126734,65742,120779
Ecuador,16528730,90110,183,88636,4,85468,3708,6616,14475,1036,25424354,148637,274593
El Salvador,6148000,41084,150,39851,1,39643,791,2020,5415,684,9170198,42813,92606
Equatorial Guinea,875609,1850,473,1714,4,1653,115,104,212,16,511110,6223,7353
Estonia,1315944,4065,324,4031,-1,4074,58,228,504,55,832958,2563,6464
Ethiopia,99391000,10277,9671,10116,1,10013,452,605,2352,220,3321666,7494,25150
Falkland Islands,2912,12,243,11,,11,1,1,1,1,1604,10,19
Faroe Islands,48000,134,358,129,15,112,8,35,4,3,38710,120,203
Fiji,897537,3098,290,2881,-3,2958,20,130,493,79,724603,4513,11821
Finland,5487308,18477,297,18397,-1,18496,253,726,2033,300,2985976,10099,26061
France,64500000,128759,501,127087,1,125519,2669,8062,14482,1714,28288990,61531,223556
French Guiana,244118,2515,97,2472,4,2373,124,169,386,49,703251,5788,9975
Gabon,1772682,4090,433,3996,1,3972,177,239,543,42,1151130,8795,12478
Gambia,2056352,262,7849,220,-4,230,13,14,36,4,66341,441,639
Georgia,3720400,18619,200,18216,,18279,501,1121,3216,231,4526935,8306,32216
Germany,82175684,165624,496,164243,,163871,3224,7590,12721,2159,29326324,81494,274379
Ghana,28188439,133607,211,128258,3,124004,6069,5153,14009,1941,31688587,420286,354966
Gibraltar,32259,134,241,124,-2,127,2,10,21,2,33158,47,185
Greece,10787690,28715,376,28537,,28592,651,1679,4086,389,6591317,12838,47027
Greenland,56000,169,331,161,11,145,8,10,31,5,39889,156,317
Grenada,107327,565,190,542,-6,579,12,22,69,10,118842,609,1524
Guadeloupe,409055,8208,50,8046,,8058,268,440,664,120,1542356,8681,19475
Guam,159358,736,217,705,-5,740,25,48,122,9,194696,1032,1858
Guatemala,16700400,39976,418,38822,2,38140,517,2225,5857,893,10054759,50743,98074
Guinea,12947122,857,15107,810,6,765,44,39,120,20,238258,2091,3554
Guinea-Bissau,1890111,163,11596,149,6,141,9,17,37,3,70825,589,702
Guyana,767085,3100,247,3016,3,2941,105,177,442,48,737749,5314,12456
Haiti,9993000,20554,486,19754,1,19552,1055,1140,2833,280,5329374,42128,86256
