Country or Territory,Population,2016 Peak Pubs.,Ratio 1 Publisher to,2016 Av. Pubs.,% Inc. Over 2015,2015 Av. Pubs.,2016 No. Bptzd.,Av. Aux. Pio. Pubs.,Av. Pio. Pubs.,No. of Congs.,Total Hours,Av. Bible Studies,Memorial Attendance
Honduras,8199000,23565,348,22908,1,22653,474,1253,4244,442,6718127,34528,67271
Hong Kong,7346700,5563,1321,5429,-1,5509,171,397,1027,59,1660060,5903,9508
Hungary,9821000,22231,442,22035,-2,22400,490,1291,1917,297,4477362,11631,39543
Iceland,329000,398,827,368,,367,4,24,52,6,82962,251,675
India,1330713000,44861,29663,43910,5,41866,2618,3231,6869,624,10581267,57586,124547
Indonesia,258316051,26741,9660,25967,2,25361,1038,2141,3662,477,6940378,32731,56404
Ireland,4713993,6585,716,6407,2,6281,65,348,935,119,1463718,3647,12077
Israel,8751200,1604,5456,1564,4,1511,55,90,241,27,402781,1322,3430
Italy,60665551,251092,242,250249,,250277,4915,19097,33733,2976,60708456,118676,438412
Jamaica,2803362,11714,239,11539,-2,11815,301,491,1480,187,2364291,13164,33968
Japan,126573481,214173,591,213818,,214523,2156,20821,64864,3059,81414691,160289,300963
Kazakhstan,17670579,17725,997,17521,,17545,526,1376,3617,256,5393751,12446,32067
Kenya,47528480,26886,1768,26582,,26578,659,1094,3524,632,6802044,47307,67173
Kiribati,114405,146,784,134,-1,136,8,7,33,4,46660,273,349
"Korea, Republic of",50504000,99962,505,99724,,99950,1893,9546,40069,1331,46602013,77592,135398
Kosovo,2350000,257,9144,247,5,236,7,12,98,7,120065,482,548
Kosrae,6616,28,236,20,,20,3,5,1,8,236,56,107
Kyrgyzstan,6019500,5178,1163,5124,1,5071,209,453,1096,69,1599886,5182,10833
Latvia,1939050,2290,847,2249,-1,2275,46,131,349,36,559498,1952,3519
Lebanon,6023372,3684,1635,3641,-1,3671,68,181,192,57,577280,2115,6458
Lesotho,2135000,4019,531,3958,3,3837,254,154,451,89,932795,7123,11062
Liberia,4615222,7137,647,6332,4,6112,341,238,712,133,1720634,21963,45809
Liechtenstein,37623,89,423,85,,85,2,2,2,1,9194,38,141
Lithuania,2862786,3079,930,3042,-2,3101,61,179,458,46,754242,2496,4991
Luxembourg,583189,2108,277,2082,2,2042,15,126,144,32,389003,1147,3996
Macao,652500,329,1983,289,-2,294,16,12,78,5,106909,329,717
Macedonia,2078453,1310,1587,1289,,1293,38,105,190,24,347501,1002,2856
Madagascar,24915822,33529,743,31845,3,30941,1966,1630,5490,718,9363947,80595,138470
Madeira,256424,1138,225,1116,-3,1147,21,72,101,17,235860,759,1812
Malawi,17885806,89299,200,88810,10,80776,7072,3198,7138,1520,17009981,132375,291106
Malaysia,30700000,5055,6073,4936,3,4804,231,308,1298,113,1702752,8755,13330
Mali,18145967,322,56354,293,3,284,12,20,52,7,97772,727,1118
Malta,419000,747,561,694,4,665,20,40,86,8,139350,262,1210
Marshall Islands,69747,211,331,176,-4,183,6,11,31,4,49004,458,870
Martinique,396909,4794,83,4744,,4755,152,280,577,66,1093014,5165,10662
Mauritius,1277459,1869,683,1832,3,1785,62,105,197,25,388876,2209,4414
Mayotte,236507,162,1460,156,6,147,2,13,43,3,58503,381,388
Mexico,128766500,859541,150,829793,1,818481,17190,36977,134370,13237,204966555,1018240,2262646
Moldova,4069000,19800,206,19653,-1,19776,562,1302,2232,242,4228530,13800,37091
Mongolia,2959134,473,6256,448,3,435,21,33,189,9,206228,830,1297
Montenegro,631490,264,2392,258,-4,270,3,30,55,6,95463,167,541
Montserrat,5154,21,245,20,5,19,2,10,1,1,10751,82,124
Mozambique,28947073,56192,515,54455,3,53027,1390,2023,5019,1175,11323585,101379,223543
Myanmar,54479161,4211,12937,4139,1,4099,97,116,612,76,851328,4106,8847
Namibia,2459000,2448,1004,2310,3,2247,128,129,261,44,578848,4494,8239
Nauru,10263,19,540,15,36,11,1,1,1,3,3659,32,130
Nepal,28441000,2367,12016,2322,5,2204,112,143,802,36,880086,4833,7261
Netherlands,17054563,29839,572,29490,,29508,562,1422,1784,362,4786042,12802,51404
Nevis,12000,74,162,65,16,56,1,3,1,1,8571,73,243
New Caledonia,275202,2333,118,2252,4,2164,100,173,199,33,508312,3167,7198
New Zealand,4718126,14242,331,13895,,13929,311,725,1249,186,2596600,8389,26527
Nicaragua,6155700,28642,215,27651,2,27054,789,1382,4139,485,7064669,42298,88308
Niger,20860548,292,71440,274,1,272,9,13,40,7,76998,388,957
Nigeria,182202000,370336,492,342122,1,338955,12204,12914,37746,6430,75202806,870185,774874
Niue,1190,24,50,23,-4,24,1,3,1,3,965,20,70
Norfolk Island,1796,6,299,6,20,5,1,599,3,16,11472,233,604,980,168,2007497,5654,18165
Norway,5211000,11664,447,11535,1,960,45,37,105,19,187704,1205,4392
Pakistan,192826502,1034,186486,975,2,80,7,15,2,2,514987,64,190
Palau,21108,79,267,75,-6,71,5,10,2,2,514987,64,190
Palestinian Territory,4810000,78,61667,73,3,16,224,401,927,2781,317,4336896,2314,50177
Panama,3995500,17193,232,16529,2,3916,186,201,485,109,1025985,7865,35593
Papua New Guinea,7708577,4586,1681,4112,5,9719,389,590,1683,227,2768541,15344,23452
Paraguay,6750721,10207,661,9982,3,120260,4838,9214,27771,1448,40081539,193536,358596
Peru,31826018,127855,249,121991,1,199551,8900,9801,41182,3315,50130621,269655,584685
Philippines,100981437,209131,483,202431,1,69,4,5,21,1,22786,164,235
Pohnpei,35981,75,480,70,1,121018,1740,6225,7720,1305,18988899,50479,190613
Poland,38437239,119932,320,118947,-2,48633,1016,3077,4394,647,9911399,26864,88538
Portugal,9839140,48999,201,48484,,25585,651,1493,3628,323,5918513,15565,53241
Puerto Rico,3680772,25579,144,25269,-1,2980,85,200,371,38,734891,2438,6565
Réunion,861984,3160,273,3087,4,48,2,3,5,1,3992,12,25
Rodrigues,41669,50,833,43,-10,172977,4002,11844,29665,2315,46559507,107312,293933
Romania,21136000,40398,523,40151,-1,25061,1870,2298,4856,598,9796307,69889,85493
Rota,2477,11,225,9,,12,1,3,3,549,26,43
Russia,146074524,171828,850,170415,-1,26,3,6,1,9,863,31,91
Rwanda,11533446,27759,415,26229,5,22,1,3,1,6,339,40,93
Saba,1800,12,150,9,-25,118,3,2,3,10,182,65,269
"St. Barthélemy",9503,30,317,27,4,203,2,7,29,4,48186,260,685
St. Eustatius,4020,29,139,25,14,727,17,46,105,11,199855,1225,2208
St. Helena,4000,121,33,116,-2,340,11,18,31,5,75737,462,1247
St. Kitts,44183,211,209,200,-1,313,5,15,26,5,64865,480,1078
St. Lucia,186383,778,240,739,2,14,1,5,1,5,188,7,19
St. Maarten,39540,339,117,325,-4,336,2,25,45,8,93662,519,1105
St. Martin,36457,322,113,297,-5,194,8,18,37,3,61811,369,511
St. Pierre and Miquelon,6286,14,449,13,-7,519,27,37,84,12,153054,873,2272
"St. Vincent & the Grenadines",109645,345,318,328,-2,202,18,27,2,54,873,96,313
Saipan,48200,211,228,200,3,754,29,69,143,11,283089,3135,3277
Samoa,194899,548,356,510,-2,1168,45,84,156,25,334309,2069,2859
San Marino,33121,195,170,193,-4,3861,80,292,618,63,1067776,2419,8381
"São Tomé and Príncipe",195364,810,241,778,3,333,6,11,47,4,78824,406,893
Senegal,15604407,1263,12355,1205,3,,,,,,
Serbia,8118146,3894,2085,3855,,,,,,
Seychelles,92430,337,274,324,-3,333,6,11,47,4,78824,406,893
Sierra Leone,6592102,2214,2977,2071,2,2037,125,105,249,39,554424,5201,10079
Slovakia,5427917,11441,474,11321,,11276,223,588,915,140,1981997,4521,21547
Slovenia,2068000,1905,1086,1889,-1,1911,34,115,233,30,444607,158,3430
Solomon Islands,596109,2039,292,1935,1,1930,63,155,247,53,1044619,7155,10364
South Africa,54490000,102606,531,99249,3,99631,2598,5096,9687,2035,26830824,129957,267800
South Sudan,12822840,1232,10408,1179,-3,1334,111,172,35,5,5225,111,172
Spain,46025318,112455,409,110393,1,109457,2199,8253,14710,1502,28069429,55903,190976
Sri Lanka,20810816,5969,3486,5915,2,5775,251,340,809,108,1308806,8411,15790
Sudan,41394024,624,66337,624,5,624,22,95,14,2,319,22,95
Suriname,540000,2982,181,2919,2,2849,107,259,307,55,694247,5675,10040
Swaziland,1287000,3217,400,3106,1,3063,164,134,277,87,686618,4890,8953
Sweden,9779000,22430,436,22238,,22236,286,1118,2200,310,3900229,158,3430
Switzerland,8327126,19327,431,18838,1,18611,352,945,1105,275,3094837,9788,32819
Tahiti,268207,3206,84,3162,3,3079,155,245,482,46,853180,4222,9216
Taiwan,23510000,10126,2322,9941,4,9582,240,845,3323,147,4105237,14617,19558
Tanzania,55538635,16989,3269,16335,1,16129,345,604,1861,477,3929723,34592,55136
Thailand,68200800,4574,14911,4493,6,4258,221,310,1553,109,1805943,6927,9986
Timor-Leste,1167242,340,3433,318,12,284,22,23,69,4,78824,406,893
Tinian,2500,23,109,17,13,15,1,3,1,4,6192,12,25
Togo,7544879,20157,374,19558,3,19067,929,1303,1990,293,5268781,62762,66727
Tonga,106326,235,452,197,-5,208,7,9,27,3,39814,249,593
"Trinidad & Tobago",1360088,9675,141,9635,1,9543,258,678,1196,126,2032497,8451,15790
Turkey,79000000,2829,27925,2727,8,2719,118,629,40,5,5431,118,629
Turks and Caicos,34904,330,106,316,-5,313,5,15,26,5,64865,480,1078
Tuvalu,9943,73,136,52,-19,64,1,3,1,8,045,69,214
Uganda,36893477,7266,5078,7095,4,6832,420,505,1063,147,2179161,20302,23920
Ukraine,42480549,141846,299,140356,-1,141364,3440,10168,19444,1578,34329925,80903,242086
United States of America,324118787,1231609,263,1198026,,1195081,28588,60951,168318,14040,273517480,747554,2495181
Uruguay,3423787,11786,290,11634,,11614,332,617,1057,157,2196785,9439,24403
Vanuatu,270470,717,377,624,12,557,33,39,78,14,158377,1509,3327
Venezuela,31028637,147680,210,144003,4,138860,7247,11054,28953,1849,44458254,210632,467611
"Virgin Islands, British",30659,256,120,245,-4,256,0,14,30,4,59192,241,846
"Virgin Islands, U.S.",106415,619,172,571,-3,586,17,32,90,10,147505,551,1706
"Wallis & Futuna Islands",11504,43,268,37,-16,44,1,3,1,8,129,68,185
Yap,11376,29,392,27,-4,28,1,2,10,1,13,196,101,145
Zambia,15933883,183586,87,181568,6,171167,10471,5565,14469,2972,36329176,415706,782527
Zimbabwe,15764255,45640,345,44574,3,43361,3339,2613,5874,1242,11942197,107706,116011
"31 Other Lands",,41775,,40167,12.2,41775,40167,12.2,,,,,
