Country or Territory,Population,2015 Peak Pubs.,Ratio 1 Publisher to,2015 Av. Pubs.,% Inc. Over 2014,2014 Av. Pubs.,2015 No. Bptzd.,Av. Aux. Pio. Pubs.,Av. Pio. Pubs.,No. of Congs.,Total Hours,Av. Bible Studies,Memorial Attendance
"Congo, Dem. Republic of",77267000,206309,375,176585,-2,180343,10274,7829,18387,3642,42707866,556852,1131161
"Congo, Republic of",4620000,7448,620,6080,-2,6193,149,339,466,77,1668830,20438,25444
Cook Islands,13313,217,61,194,,194,12,20,3,38,202,203,469
Costa Rica,4819000,30115,160,29601,2,29086,863,1429,3337,433,6446313,34861,69247
"Côte d'Ivoire",22671331,10607,2137,10302,5,9781,544,769,1599,293,3256150,28496,64724
Croatia,4290612,5427,791,5372,-1,5412,186,350,485,67,1097863,2250,8472
Cuba,11258597,96487,117,95825,,95592,3624,6716,9791,1524,19107502,172538,231958
Curaçao,156971,2033,77,1987,3,1931,100,106,190,25,393300,2337,5463
Cyprus,885600,2575,344,2536,3,2467,64,168,406,40,639822,1840,4609
Czech Republic,10541466,16269,648,15471,,15407,291,847,1077,226,2636242,7274,26177
Denmark,5678348,14652,388,14564,1,14462,140,719,923,179,2415133,6023,21527
Dominica,72700,450,162,437,3,423,9,18,69,10,112093,722,1448
Dominican Republic,10478756,37536,279,36946,2,36240,1445,2490,7337,567,11606518,69892,120103
Ecuador,16278844,87020,187,85468,4,82547,5336,6030,14201,1002,23538094,142010,260366
El Salvador,6142600,40013,154,39643,1,39346,835,2024,5467,685,9195509,45286,92188
Equatorial Guinea,810613,1918,423,1653,5,1574,122,99,213,15,489580,5801,6860
Estonia,1313271,4095,321,4074,,4091,85,237,493,54,840294,2723,6793
Ethiopia,99391000,10083,9857,10013,3,9768,496,702,2316,217,3377845,7570,25323
Falkland Islands,2840,11,258,11,10,10,1,1,1,1,696,9,26
Faroe Islands,50145,119,421,112,-4,117,1,5,31,4,32937,105,192
Fiji,887027,3097,286,2958,1,2938,231,179,487,78,745243,4615,11845
Finland,5471753,18574,295,18496,,18588,221,746,2001,303,3069284,10468,25924
France,64200000,127444,504,125519,1,124298,2365,7434,14049,1702,27364109,58530,219748
French Guiana,241922,2429,100,2373,4,2288,78,152,374,46,689167,5425,9401
Gabon,1756708,4216,417,3972,4,3816,169,257,519,38,1149145,8906,11646
Gambia,1990924,252,7900,230,11,208,10,7,42,4,62093,388,579
Georgia,3729500,18531,201,18279,1,18100,502,1181,3197,229,4569185,8796,32569
Germany,81083551,165754,489,163871,,163246,2647,7101,12308,2187,2843642,77941,270447
Ghana,27451357,129046,213,124004,4,119199,5062,5014,12890,1852,30107656,400672,353891
Gibraltar,29833,129,231,127,2,124,2,9,21,2,32314,55,174
Greece,10787690,28816,374,28592,,28677,617,1675,4133,390,6607009,13237,46822
Greenland,55984,155,361,145,,145,3,6,24,6,33091,142,351
Grenada,109600,602,182,579,,578,3,30,80,10,134780,719,1534
Guadeloupe,410335,8192,50,8058,,8025,183,419,621,120,1516962,8625,19763
Guam,159358,790,202,740,1,733,23,46,116,9,190844,1037,1943
Guatemala,14941600,38766,385,38140,3,37192,1360,2139,5646,881,9765437,49613,97106
Guinea,11750000,835,14072,765,4,737,49,45,118,19,225496,1884,3136
Guinea-Bissau,1844325,149,12378,141,6,133,8,13,31,3,67461,507,701
Guyana,782359,3013,260,2941,3,2846,105,166,433,46,704966,5062,12837
Haiti,9993000,20516,487,19552,3,18588,1055,1140,2833,280,5329374,42128,86256
Honduras,8758900,23130,379,22653,3,22557,191,427,1018,68,1670339,6062,9619
Hong Kong,7298600,5590,1306,5509,-1,5557,191,427,1018,68,1670339,6062,9619
Hungary,9855000,22582,436,22400,,22444,555,1333,1980,296,4576242,12163,39727
Iceland,329000,382,861,367,,368,4,19,51,7,79372,271,692
India,1299213900,42566,30522,41866,6,39355,2902,3116,6196,587,10070577,54005,120601
Indonesia,256000000,26238,9757,25361,4,24489,1066,2193,3269,465,6808314,31168,55864
Ireland,6676364,6422,1040,6281,1,6210,120,336,884,119,1424752,3563,11779
Israel,8548984,1567,5456,1511,4,1450,42,95,220,26,392851,1262,3242
Italy,60795612,251032,242,250277,1,248871,4911,18696,33944,2997,60979620,119827,435046
Jamaica,2793300,11911,235,11815,-1,11889,348,561,1504,188,2437190,13561,37111
Japan,126573481,215216,588,214523,,215294,2160,19480,65354,3059,81576771,166049,300406
Kazakhstan,17563000,17797,987,17545,,17475,559,1435,3449,248,5247691,12791,31435
Kenya,47233491,28005,1687,26578,3,25820,1267,1177,3544,619,6924219,46515,66820
Kiribati,104607,150,697,136,-4,142,17,39,3,45,801,310,418
"Korea, Republic of",50293000,100544,500,99950,,100289,3045,9579,39347,1358,46188497,79826,134894
Kosovo,2350000,241,9751,236,,237,6,16,85,6,113454,483,574
Kosrae,6616,24,276,20,18,17,1,3,6,1,8413,56,118
Kyrgyzstan,5895062,5134,1148,5071,3,4936,202,437,1058,67,1541668,5297,10838
Latvia,2000000,2303,868,2275,-1,2296,47,149,347,36,594514,2058,3750
Lebanon,5053624,3734,1353,3671,,3659,66,191,183,57,595115,2206,6533
Lesotho,2135000,4123,518,3837,-1,3871,133,168,430,90,909831,6774,10266
Liberia,4190000,6475,647,6112,1,6022,440,227,738,126,1755648,21661,44716
Liechtenstein,37370,91,411,85,-3,88,4,3,2,1,10292,41,135
Lithuania,2898062,3140,923,3101,-1,3130,68,192,474,50,796224,2655,5018
Luxembourg,562958,2058,274,2042,1,2028,6,113,126,32,363097,1118,3895
Macao,642900,310,2074,294,-1,298,13,19,69,4,103742,356,715
Macedonia,2108434,1318,1600,1293,-2,1323,37,100,194,24,357297,1040,2903
Madagascar,24967390,32426,770,30941,5,29385,1780,1633,5198,696,9133114,79143,131087
Madeira,258686,1192,217,1147,1,1134,23,78,103,17,251283,825,1935
Malawi,16000000,89626,179,80776,-2,82671,5958,3303,6547,1447,15775188,116274,296711
Malaysia,30986035,4897,6328,4804,3,4668,175,288,1263,116,1639860,8671,12539
Mali,17599694,295,59660,284,-1,286,23,26,55,7,112954,854,1163
Malta,419000,692,605,665,7,623,18,29,75,8,123877,235,1192
Marshall Islands,53158,223,238,183,7,171,9,13,31,4,52953,474,914
Martinique,395027,4820,82,4755,,4749,138,268,562,64,1090051,5376,10613
Mauritius,1330000,1815,733,1785,2,1749,54,102,149,25,355012,2093,4124
Mayotte,230338,162,1422,147,13,130,3,10,46,3,56682,352,338
Mexico,121856500,832981,146,818481,2,802903,21764,34264,136512,13088,202740223,1064408,2242804
Moldova,4069000,19972,204,19776,,19846,531,1203,2223,240,4143138,13863,35813
Mongolia,2959134,445,6650,435,7,405,39,38,181,9,199142,797,1280
Montenegro,631490,278,2272,270,2,265,11,29,57,6,98495,181,589
Montserrat,4900,21,233,19,6,18,1,9,1,8,897,71,108
Mozambique,25727911,57144,450,53027,3,51637,2773,1972,4900,1154,10935184,90657,291356
Myanmar,54647652,4149,13171,4099,4,3941,115,124,546,74,857564,4134,8438
Namibia,2459000,2306,1066,2247,2,2208,31,120,271,44,554371,4381,7726
Nauru,10436,14,745,11,-27,15,1,1,1,1,227,14,92
Nepal,27153225,2251,12063,2204,10,2004,141,134,753,36,817986,4515,7268
Netherlands,16956486,30042,564,29508,,29495,529,1339,1696,360,4677702,12421,51743
Nevis,12100,64,189,56,6,53,2,2,1,63,610,351,835
New Caledonia,270710,2277,119,2164,6,2047,100,163,185,30,487664,2901,6473
New Zealand,4618522,14224,325,13929,,13884,397,683,1251,185,2582505,8408,26008
Nicaragua,5912800,27707,213,27054,3,26169,821,1397,4132,484,7067722,44264,88843
Niger,19899000,282,70564,272,-4,282,14,7,40,7,69565,377,805
Nigeria,182201962,367103,496,338955,3,329757,12573,11995,36968,6145,72505273,798359,739234
Niue,1190,26,46,24,-4,25,1,3,1,4,708,20,54
Norfolk Island,1329,6,222,5,-38,8,1,507,3,19,,,
Norway,5189400,11598,447,11472,1,11359,111,517,940,166,1937038,5614,17889
Pakistan,188925000,1021,185039,960,3,928,73,46,99,18,200900,1248,4035
Palau,21108,89,237,80,3,78,5,6,19,2,26883,182,233
Palestinian Territory,4680000,74,63243,71,1,70,3,3,12,2,177,444,72,167
Panama,3661000,16572,221,16224,4,15626,584,982,2773,313,4428058,24236,54213
Papua New Guinea,7708577,4228,1823,3916,1,3868,230,245,415,106,952176,7078,34707
Paraguay,6917579,10023,690,9719,4,9309,469,594,1592,216,2811125,15165,24298
Peru,31151643,124897,249,120260,3,117211,4866,9317,27755,1419,39683210,196798,383251
Philippines,100621100,201761,499,199551,5,190930,10146,12440,38813,3246,49798859,268598,576542
Pohnpei,35981,73,493,69,-7,74,2,6,20,1,22996,158,212
Poland,38478602,122021,315,121018,-1,122381,1885,6385,7958,1327,19140641,52256,191524
Portugal,9869783,48840,202,48633,,48706,1076,3211,4288,644,10037634,28687,91472
Puerto Rico,3683200,25832,143,25585,,25709,600,1529,3535,324,5966791,16309,56404
Réunion,843617,3010,280,2980,1,2961,72,191,330,37,689321,2450,6297
Rodrigues,41669,52,801,48,12,43,5,5,1,11,740,65,122
Romania,21240000,40575,523,40370,,40371,890,2169,3831,548,7809840,25623,78300
Rota,2477,10,248,9,-10,10,2,3,1,4,177,15,26
Russia,146042093,175615,832,172977,5,165322,4526,12952,30963,2547,48858784,113529,294180
Rwanda,11262564,26680,422,25061,7,23507,1722,2264,4496,589,9541885,67184,83107
Saba,2000,13,154,12,71,7,1,2,3,3,422,36,54
"St. Barthélemy",9269,28,331,26,8,24,2,5,1,5,798,48,84
St. Eustatius,3100,24,129,22,,22,1,2,3,9,821,65,272
St. Helena,4000,122,33,118,3,115,1,2,3,9,821,65,272
St. Kitts,46000,218,211,203,,203,12,9,34,4,53493,278,773
St. Lucia,173800,773,225,727,-2,740,34,39,104,11,194300,1220,2296
"St. Maarten",37400,391,96,340,1,336,3,15,38,5,76529,450,1147
St. Martin,36522,323,113,313,1,311,4,15,28,5,68998,525,1037
St. Pierre and Miquelon,6299,14,450,14,-7,15,1,5,1,5,198,6,22
"St. Vincent & the Grenadines",109344,346,316,336,1,332,11,32,44,8,94908,511,1139
Saipan,48220,215,224,194,-2,198,1,16,35,2,55010,314,557
Samoa,193483,547,354,519,-1,522,29,28,79,12,140678,792,2065
San Marino,32890,208,158,202,-1,204,16,32,2,56,121,115,351
"São Tomé and Príncipe",194006,773,251,754,6,708,73,70,150,11,279619,3041,3226
Senegal,15129273,1194,12671,1168,2,1150,42,83,148,26,328746,2010,2606
Serbia,8118146,3895,2084,3861,,3857,73,303,609,61,1057663,2273,7939
Seychelles,91650,347,264,333,1,331,10,24,33,4,81926,414,935
Sierra Leone,6092000,2166,2813,2037,5,1937,147,114,242,37,565540,5242,9553
Slovakia,5421433,11386,476,11276,2,11105,291,567,819,142,1861585,4135,21623
Slovenia,2068000,1985,1042,1911,-1,1930,50,121,232,30,447571,1064,2942
Solomon Islands,584020,1962,298,1915,7,1787,127,72,265,51,409908,2316,9807
South Africa,54490000,100082,544,96631,1,95369,3779,4830,11164,2108,21975559,140789,250754
South Sudan,11864683,1308,9071,1218,1,1201,139,71,164,33,310442,3132,4682
Spain,46439864,111411,417,109457,1,108900,2197,7906,14414,1533,27364771,57290,190233
Sri Lanka,21416445,5902,3629,5775,3,5615,211,346,794,108,1317282,8564,15415
Sudan,40720640,608,66975,595,16,515,54,47,87,16,181266,1583,2308
Suriname,540000,2896,186,2849,3,2765,132,261,287,55,671767,5218,9889
Swaziland,1287000,3124,412,3063,3,2983,58,122,265,92,640177,4403,8841
Sweden,9804082,22446,437,22236,,22156,594,994,2203,315,3837623,10394,35366
Switzerland,8237666,19219,429,18611,2,18323,347,861,1046,270,2978799,9285,31755
Tahiti,268207,3132,86,3079,3,2990,167,237,456,44,831361,4335,8822
Taiwan,23465003,9703,2418,9582,4,9256,387,858,3123,142,3949344,14631,19261
Tanzania,51420567,16255,3163,16129,2,15761,856,678,1900,475,3982299,33373,55355
Thailand,67959000,4405,15428,4258,6,4022,137,278,1410,106,1699727,6611,8715
Timor-Leste,1250000,301,4153,284,17,242,16,23,67,4,108447,601,750
Tinian,3136,23,136,15,,15,1,3,1,4,294,29,43
Togo,7305000,23112,316,19067,5,18158,905,1304,1858,282,5014266,59501,67069
Tonga,105894,233,454,208,-4,216,8,13,31,3,51553,299,628
"Trinidad & Tobago",1333100,9679,138,9543,,9503,260,662,1216,122,2092005,11331,24103
Turkey,77700000,2611,29759,2514,4,2408,79,189,399,31,704250,1705,4546
Turks and Caicos,34300,340,101,332,3,323,12,21,59,6,98477,686,1060
Tuvalu,9894,86,115,64,7,60,1,1,1,7,900,72,247
Uganda,36076000,7112,5073,6832,6,6468,363,489,1046,142,2159573,19559,23157
Ukraine,42529112,142736,298,141364,-6,134913,6721,10205,27532,1807,41575997,197284,433763
United States of America,321773600,1231867,261,1195081,1,1186598,28588,60951,167404,14063,268657014,737471,2475339
Uruguay,3424567,12031,285,11614,1,11471,302,655,960,158,2209082,9501,23583
Vanuatu,269442,743,363,557,6,525,34,22,82,12,138329,1370,3720
Venezuela,30851300,142117,217,138860,3,134913,6721,10205,27532,1807,41575997,197284,433763
"Virgin Islands, British",30100,263,114,256,-2,260,15,32,4,59,617,251,825
"Virgin Islands, U.S.",106300,626,170,586,-3,602,22,36,85,10,147276,591,1743
"Wallis & Futuna Islands",14315,50,286,44,-4,46,3,2,5,1,10158,72,174
Yap,11376,30,379,28,,28,1,2,8,1,11292,110,136
Zambia,15077660,177695,85,171167,1,168693,9855,5598,13612,2806,34270962,379165,809840
Zimbabwe,15576901,45072,346,43361,4,41688,2302,2633,5462,1185,11190296,100248,114500
"30 Other Lands",,38833,,35795,7.3,33372,2194,3173,13150,844,17166611,66167,74469
