Country or Territory,Population,2015 Peak Pubs.,Ratio 1 Publisher to,2015 Av. Pubs.,% Inc. Over 2014,2014 Av. Pubs.,2015 No. Bptzd.,Av. Aux. Pio. Pubs.,Av. Pio. Pubs.,No. of Congs.,Total Hours,Av. Bible Studies,Memorial Attendance
Albania,3204000,5415,592,5381,4,5190,228,540,1223,86,1914716,6132,12945
American Samoa,57642,233,247,218,,218,11,33,3,3,63610,351,835
Andorra,79330,181,438,170,1,169,4,9,18,3,35375,113,320
Angola,24383301,115948,210,111123,8,102753,7462,5748,13748,1565,30712362,502848,529827
Anguilla,13600,71,192,62,-3,64,2,4,3,2,13384,108,252
Antigua,80200,472,170,462,-3,478,3,29,43,7,94796,570,1230
Argentina,42657055,148565,287,147379,1,145277,4888,9893,19913,2014,35136722,126606,315790
Armenia,3026900,11117,272,11019,,10978,260,1001,2221,142,3457851,7555,23318
Aruba,109028,975,112,953,2,931,35,39,65,14,165652,1009,2922
Australia,23884166,67606,353,66753,,66484,1605,3114,5639,797,11948544,29751,116022
Austria,8584926,21338,402,21216,1,20990,403,1106,1464,300,3784884,11990,34359
Azerbaijan,9593000,1351,7101,1303,7,1220,105,136,327,13,496937,1838,2674
Azores,246353,739,333,730,-2,748,16,48,90,15,181291,871,1680
Bahamas,388000,1686,230,1630,,1630,50,85,207,27,374274,2077,4198
Bangladesh,160995642,255,631355,243,15,211,13,14,96,6,105200,554,993
Barbados,277800,2557,109,2506,-1,2524,61,141,203,30,455496,2259,6012
Belarus,9496000,5918,1605,5828,4,5579,173,496,1290,76,1915608,4989,10212
Belgium,11209044,25497,440,24661,1,24531,489,1166,1601,370,4045368,10895,43325
Belize,347900,2567,136,2515,4,2425,120,137,475,62,751033,4325,8705
Benin,10880000,12430,875,11716,3,11352,486,766,1591,186,3356769,29253,41706
Bermuda,62000,526,118,448,-3,463,18,18,82,5,115621,340,909
Bhutan,775480,3,258493,3,100,1,953,3,7,,,
Bolivia,10725000,25174,426,24836,4,23976,1265,2394,4676,329,7912833,42201,77110
Bonaire,18905,122,155,118,2,116,3,5,15,2,27545,169,357
Bosnia and Herzegovina,3791622,1189,3189,1170,-1,1180,13,89,188,16,332446,551,1972
Botswana,2262000,2153,1051,2099,-1,2122,93,147,271,46,566268,4552,6323
Brazil,204873755,805044,254,787470,3,767449,28349,41958,91055,11802,172695296,863612,1743624
Britain,62863330,137631,457,134491,,134308,2286,6738,13063,1605,24867057,60066,225584
Bulgaria,7284500,2368,3076,2290,7,2149,120,135,613,53,811728,2962,5267
Burkina Faso,18106000,1743,10388,1656,4,1598,99,103,277,44,497487,3328,4499
Burundi,9231000,13132,703,12577,6,11852,823,1084,1861,269,4223708,39049,50743
Cambodia,15577899,924,16859,894,11,802,43,35,498,14,449816,2239,2251
Cameroon,22637185,41376,547,37869,1,37319,1455,1867,4145,339,9394420,73129,97390
Canada,36162252,115234,314,114123,,113617,1688,6375,12121,1397,22870030,54805,187322
Cape Verde,545993,2143,255,2098,3,2042,104,140,411,35,634354,4423,8033
Cayman Islands,60000,223,269,217,-5,228,6,11,27,3,51668,232,651
Central African Republic,4900000,2613,1875,2544,3,2471,131,133,312,53,692466,7874,16350
Chad,14037000,710,19770,687,6,646,37,33,69,17,172985,1304,4582
Chile,18006407,76296,236,75168,1,74498,2458,5392,11583,963,19684208,64178,174761
Chuuk,48651,42,1158,37,-23,48,3,12,1,17,373,136,230
Colombia,49367000,166373,297,165089,2,161876,5885,8753,23732,2550,41318347,222442,510952
