Country or Territory,Population,2017 Peak Pubs.,Ratio 1 Publisher to,% Inc. Over 2016,2017 No. Bptzd.,Av. Pio. Pubs.,No. of Congs.,Memorial Attendance
Montenegro,631490,271,2330,3,2,65,5,566
Montserrat,5292,27,196,25,,12,1,,158
Mozambique,29879087,59990,498,5,3236,5206,1254,283861
Myanmar,54874536,4296,12773,2,158,639,79,8659
Namibia,2579051,2473,1043,3,168,263,45,7779
Nauru,10301,21,491,7,1,2,1,123
Nepal,28441000,2506,11349,6,132,861,40,7346
Netherlands,17153292,29756,576,,494,2001,360,50429
Nevis,12000,62,194,-9,3,1,,239
New Caledonia,280000,2383,117,2,81,244,34,5964
New Zealand,4817903,14150,340,,363,1334,187,26735
Nicaragua,6223400,29082,214,2,1054,4487,491,88198
Niger,21563607,316,68239,5,6,38,7,866
Nigeria,190886000,381398,500,3,13531,39389,6533,800874
Niue,1614,24,67,,3,1,,67
Norfolk Island,1748,7,250,,1,1,,18
Norway,5258317,11652,451,,214,1064,167,18100
Pakistan,197015955,1109,177652,4,27,99,19,3956
Palau,21108,85,248,5,3,13,2,231
Palestinian Territory,4816000,83,58024,4,3,11,2,177
Panama,4056300,17620,230,4,571,3030,326,53494
Papua New Guinea,7933841,4291,1849,,277,518,116,34395
Paraguay,6838788,10413,657,3,372,1825,230,24430
Peru,31826018,128467,248,2,4461,28889,1482,360210
Philippines,103320222,210914,490,3,10781,44860,3383,575813
Pohnpei,35981,68,529,-10,23,1,,209
Poland,38432992,118036,326,-1,1571,8244,1294,185246
Portugal,9809414,49466,198,,994,4638,652,87239
Puerto Rico,3663000,25187,145,-2,560,3865,306,50492
Réunion,876562,3270,268,3,83,426,38,6517
Rodrigues,42638,53,804,14,2,8,1,154
Romania,21136000,40101,527,-1,886,3956,551,75587
Rota,2477,11,225,,3,1,,29
Rwanda,11809295,28972,408,4,1680,5146,571,80093
Saba,1800,12,150,22,3,,74,
"St. Barthélemy",9567,34,281,4,6,1,,55
St. Eustatius,4020,29,139,8,3,1,,95
St. Helena,3973,115,35,-3,1,3,,269
St. Kitts,40715,217,188,5,3,27,4,705
St. Lucia,164994,783,211,1,17,106,11,2177
St. Maarten,42083,344,122,-3,15,38,5,1101
St. Martin,36457,311,117,-2,2,25,5,954
St. Pierre and Miquelon,6320,14,451,,7,1,,14
"St. Vincent & the Grenadines",102089,344,297,,8,43,8,1139
Saipan,48200,245,197,7,11,40,3,731
Samoa,196006,510,384,-3,37,95,13,2385
San Marino,33196,191,174,-3,30,2,,306
"São Tomé and Príncipe",201025,831,242,4,49,133,13,3384
Senegal,15887044,1353,11742,5,37,170,26,2795
Serbia,8118146,3922,2070,,93,626,67,8144
Seychelles,94737,341,278,,13,44,4,953
Sierra Leone,6774752,2262,2995,5,101,261,39,8831
Slovakia,5437752,11395,477,,208,966,139,20847
Slovenia,2074788,1881,1103,-2,29,241,30,2934
Solomon Islands,611343,2066,296,,62,250,53,10405
South Africa,55523510,104395,532,2,3525,12957,2047,267800
South Sudan,12575714,1334,9427,-1,111,172,35,5225
Spain,45929057,112916,407,1,2037,16131,1499,188092
Sri Lanka,20894716,6165,3389,2,194,817,114,14570
Sudan,40533330,703,57658,2,16,83,15,2517
Suriname,558368,3106,180,3,120,338,55,10237
Swaziland,1323468,3212,412,2,144,302,81,9020
Sweden,9967637,22418,445,,293,2391,309,34966
Switzerland,8420000,19251,437,,340,1243,273,31952
Tahiti,268207,3219,83,1,108,515,48,9136
Taiwan,23556169,10498,2244,4,611,3536,169,19545
Tanzania,57310019,17878,3206,5,1302,1923,465,56344
Thailand,68414135,4868,14054,5,114,1758,122,9535
Timor-Leste,1242616,349,3561,5,34,73,5,1002
Tinian,2500,17,147,-24,2,1,,45
Togo,7691915,20683,372,3,846,2145,297,66927
Tonga,107986,221,489,-5,15,26,3,582
"Trinidad & Tobago",1368143,9892,138,1,221,1329,126,23585
Turkey,79815000,3030,26342,7,118,629,40,5431
Turks and Caicos,35000,384,91,1,10,49,6,1215
Tuvalu,9975,125,80,60,6,5,1,178
Uganda,37956000,7542,5033,3,517,1092,149,24837
Ukraine,41882079,140300,299,-1,3125,19888,1610,229126
United States of America,324459000,1232293,263,1,27674,181879,13578,2459741
Uruguay,3493205,11825,295,1,297,1233,156,23426
Vanuatu,284486,770,369,8,87,81,15,2925
Venezuela,31570000,149355,211,2,6765,33353,1886,478266
"Virgin Islands, British",31000,241,129,-7,34,4,,802
"Virgin Islands, U.S.",105000,607,173,-2,14,112,10,1503
"Wallis & Futuna Islands",11200,46,243,8,1,1,,198
Yap,11376,27,421,-7,1,10,1,112
Zambia,16405229,191311,86,3,11884,15232,3126,883246
Zimbabwe,16337760,46440,352,1,2417,6365,1239,120065
"33 Other Lands",,218096,,-0.8,5835,45749,3242,354497
