Country or Territory,Population,2023 Peak Pubs.,Ratio 1 Publisher to,2023 Av. Pubs.,% Inc. Over 2022,2023 No. Bptzd.,Av. Pio. Pubs.,No. of Congs.,Av. Bible Studies,Memorial Attendance
Albania,2762000,5461,511,5406,-2,90,1354,83,3581,10644
American Samoa,49000,140,395,124,-5,3,27,3,152,568
Andorra,84000,174,509,165,-1,23,3,,86,351
Angola,36149000,169960,221,163705,6,12182,28019,2567,504213,643854
Anguilla,15000,62,273,55,-5,10,1,,45,254
Antigua,100000,481,216,462,-1,5,45,7,325,1301
Argentina,46045000,153751,301,152782,-1,3120,36889,1938,87893,306400
Armenia,3103000,11313,277,11194,1,374,2429,134,4650,25977
Aruba,108000,1097,100,1077,-2,30,147,14,633,2725
Australia,26636000,71188,379,70244,-1,925,9920,726,21347,114089
Austria,9105000,22443,411,22162,2,371,2524,283,7322,35177
Azerbaijan,10127000,1736,5912,1713,3,79,496,23,2179,3642
Azores,240000,802,302,796,1,16,139,15,523,1651
Bahamas,404000,1750,239,1690,-3,33,301,28,1595,4489
Bangladesh,172075000,346,509098,338,1,12,131,6,484,1189
Barbados,288000,2350,126,2290,-3,57,206,30,1724,6020
Belarus,9419000,6082,1554,6061,-1,130,1552,82,3556,11235
Belgium,11698000,26424,449,26048,1,497,2617,338,10340,44558
Belize,441000,2492,180,2452,-3,54,478,53,2135,7698
Benin,13124000,14838,930,14115,5,901,2004,260,26080,44735
Bermuda,62000,425,161,385,-1,4,70,5,167,870
Bolivia,12152000,29440,419,29034,,1073,8633,452,30288,79933
Bonaire,24000,139,182,132,10,31,2,,100,392
Bosnia and Herzegovina,3237000,969,3418,947,-4,5,192,16,263,1507
Botswana,2346000,2391,1016,2308,1,36,364,42,3658,6115
Brazil,203063000,907121,226,898785,,22660,177715,12637,543098,1819948
Britain,66357000,142073,474,140109,1,2361,20744,1599,44362,224661
Bulgaria,6792000,2832,2443,2780,4,79,794,57,1841,6181
Burkina Faso,22721000,1986,12470,1822,6,82,243,50,2350,4462
Burundi,12999000,18129,749,17351,5,1032,2979,374,38920,65540
Cambodia,16855000,1116,15295,1102,,35,540,17,1314,2545
Cameroon,28608000,44558,665,43022,2,2139,6317,500,56561,103587
Canada,38704000,120388,325,118942,1,1797,18041,1164,42070,189604
Cape Verde,573000,2277,256,2242,-1,86,401,35,3136,7802
Cayman Islands,68000,301,242,281,5,41,3,,154,728
Central African Republic,5119000,2932,1791,2858,17,224,300,64,7575,20176
Chad,17921000,912,21360,839,10,38,101,23,1246,4045
Chile,19961000,87175,232,85938,,1442,21308,964,44353,192704
Chuuk,54000,30,2348,23,-15,7,2,,47,103
Colombia,51673000,186712,279,185002,,6305,35049,2271,148657,544651
"Congo, Dem. Republic of",98152000,257672,402,244336,12,23141,24413,4385,640428,1243439
"Congo, Republic of",5941000,9517,661,8992,10,784,1527,123,23885,30468
Cook Islands,17000,193,92,184,-8,31,3,,105,538
Costa Rica,5213000,32084,163,31936,-1,807,4683,429,21398,70119
"Côte d'Ivoire",29389000,12712,2436,12062,3,577,1636,227,21548,52398
Croatia,4038000,4687,870,4642,-1,50,477,57,1039,7256
Cuba,11090000,87907,129,86048,-5,1615,8880,1366,80336,194684
Curaçao,166000,1967,85,1949,-2,36,242,24,1360,5219
Cyprus,1231000,3116,404,3047,5,62,650,41,1644,5673
Czech Republic,10851000,16764,657,16515,6,238,1818,217,5472,30590
Denmark,5941000,14639,410,14491,,216,1421,172,4013,20460
Dominica,73000,413,187,391,-3,6,54,10,473,1272
Dominican Republic,11156000,38792,293,38074,,1016,7938,536,45943,117176
Ecuador,16939000,100195,171,98869,-1,3153,22943,1212,93088,282370
El Salvador,6582000,37680,176,37431,-2,677,5294,607,20137,81625
Equatorial Guinea,1543000,2542,638,2417,4,189,304,30,6627,7944
Estonia,1366000,4110,335,4075,2,65,695,54,1636,6719
Eswatini,1198000,3269,377,3174,,43,390,76,4148,8345
Ethiopia,123771000,11512,11053,11198,2,404,2573,206,9226,26409
Falkland Islands,4000,17,333,12,-25,4,1,,8,16
Faroe Islands,55000,137,417,132,1,3,28,4,67,187
Fiji,916000,3005,312,2932,-3,107,539,60,3611,12901
Finland,5564000,18186,307,18112,,239,2493,272,8201,26038
France,64793000,138133,474,136770,1,2739,21069,1461,46500,230018
French Guiana,312000,2937,109,2869,-1,90,606,46,4597,10469
Gabon,2384000,4570,538,4434,2,225,659,59,7131,12446
Gambia,2631000,316,8949,294,10,17,54,5,418,687
Georgia,3736000,18841,199,18752,1,704,3867,224,5081,34169
Germany,84359000,174907,488,172974,3,3020,21801,2002,50612,273222
Ghana,33063000,153657,220,150307,2,9500,17327,2484,318431,368436
Gibraltar,34000,161,221,154,12,26,2,,27,213
Greece,10482000,27759,379,27644,-1,490,4819,345,7669,43572
Greenland,57000,119,500,114,-9,2,31,5,74,278
Grenada,114000,557,218,523,-1,9,85,9,390,1388
Guadeloupe,396000,8488,47,8352,,159,1036,118,6407,19549
Guam,173000,709,250,692,-5,19,177,9,513,1622
Guatemala,18918000,39022,488,38765,-1,1255,6768,825,27091,93889
Guinea,14239000,1217,12403,1148,5,34,176,27,2407,4616
Guinea-Bissau,2112000,205,11000,192,-1,12,50,4,474,719
Guyana,798000,3280,249,3201,-3,111,519,46,3455,12125
Haiti,11818000,17870,683,17297,-3,581,2547,262,25855,68862
Honduras,9727000,21646,452,21533,-2,711,4372,418,16669,58906
Hong Kong,7498000,5464,1380,5432,-1,173,1451,70,4274,9349
Hungary,9597000,21332,453,21177,1,465,2249,283,7113,38999
Iceland,388000,418,970,400,2,3,69,7,169,728
India,1419656000,57795,24739,57386,2,2811,10791,999,55195,166521
Indonesia,281844000,31023,9275,30389,2,1190,6143,491,23517,61059
Ireland,7052000,7974,907,7775,6,107,1610,121,2738,13498
Israel,9888000,2129,4731,2090,4,63,429,32,1106,3835
Italy,58851000,250193,236,249588,,3879,49027,2804,85997,424115
